Id,SalePrice
1461,120938.71734282
1462,126307.90855614294
1463,178953.05922658916
1464,200140.32218658293
1465,182465.35657886192
1466,166792.1437461548
1467,170510.57711387132
1468,164744.27257807227
1469,176539.6917589602
1470,127100.77571119418
1471,174355.24458945103
1472,94872.97582245969
1473,93708.67302900583
1474,139223.32544556918
1475,111631.29842347412
1476,374637.680625749
1477,293879.2421974805
1478,319059.16321893415
1479,302138.54206374596
1480,484733.7275460546
1481,334283.8782108601
1482,224870.46369365288
1483,167688.00951290262
1484,167661.69141069043
1485,209842.7752332994
1486,193400.23960760311
1487,331490.41577553644
1488,224794.132639583
1489,223301.89566185477
1490,241379.00303665575
1491,194770.68524635638
1492,96184.86144943627
1493,218936.71247035934
1494,301893.31302644213
1495,265586.63377722923
1496,234357.4738788692
1497,169367.72346995623
1498,198807.76138694643
1499,162366.4425928476
1500,161228.06656424815
1501,180637.17695936665
1502,151522.150271147
1503,332342.49786573934
1504,249723.61735753578
1505,233376.4396309963
1506,187595.58683783957
1507,220416.32222088435
1508,200285.9996547716
1509,146427.0817244948
1510,149776.3605052658
1511,181593.91744506074
1512,169461.69913453746
1513,151306.93780909115
1514,148316.28341909323
1515,226177.00924099307
1516,141606.22810619164
1517,165849.63371182652
1518,117339.06349528064
1519,218052.81067961938
1520,131003.9087641227
1521,123432.72065003688
1522,166527.22947571022
1523,115134.93359494346
1524,116627.51202191392
1525,128334.17116027522
1526,100538.55908691158
1527,116095.38834515991
1528,142313.7887765238
1529,153115.8750736896
1530,227229.60706059015
1531,119804.65464037057
1532,95071.19408557481
1533,145676.63033700513
1534,94442.19769522203
1535,142009.42543373437
1536,113248.34845439834
1537,61298.23080163376
1538,149842.3790502113
1539,205751.75221572162
1540,86528.20353925538
1541,138976.07642340215
1542,131999.2200242713
1543,156686.0559447364
1544,102969.7871504934
1545,126191.66516749194
1546,144583.5790432714
1547,137507.15245784572
1548,143356.9864457599
1549,134269.7120266672
1550,137528.8872572642
1551,108702.84262113701
1552,157175.47831190957
1553,153319.47239267337
1554,127555.70807350775
1555,160471.1091819098
1556,86953.42383669363
1557,104043.61807191838
1558,98874.64231677806
1559,52457.96247152924
1560,114746.11364717051
1561,102278.44946698712
1562,144628.16144267362
1563,125066.67383974169
1564,150607.5876973616
1565,138925.45025663002
1566,219313.4930299454
1567,67149.72333596293
1568,242879.7898084515
1569,116578.02004339694
1570,148002.7408775434
1571,110344.38257844307
1572,140960.5601811828
1573,235749.09305878307
1574,130469.92391502911
1575,253925.13159260777
1576,266480.53510804864
1577,241946.9600341923
1578,139754.89385276666
1579,136205.4581735121
1580,199940.5361152407
1581,156012.94515701273
1582,112641.32601155493
1583,308887.57154720055
1584,223190.03242274307
1585,144068.61991853322
1586,75317.52961471432
1587,122373.10611470747
1588,162983.2247524312
1589,104323.0377670921
1590,131738.11869721932
1591,85186.9058133974
1592,109068.68101781634
1593,135718.1715162075
1594,131091.29928366933
1595,104503.92669899427
1596,194835.33893415958
1597,201837.65387254767
1598,222253.6765290288
1599,162522.38890478402
1600,154731.81725645543
1601,68401.2924388431
1602,105771.38973438542
1603,68732.85577030285
1604,249036.05415459693
1605,243094.00799245609
1606,166847.2391134136
1607,194234.1125646601
1608,239021.4572464748
1609,177771.73709439454
1610,147299.28226971882
1611,141128.5213440581
1612,162555.74126906233
1613,163134.5467614372
1614,120931.13009447859
1615,89730.6361537861
1616,77485.21695859071
1617,89600.42687005947
1618,133877.9617104039
1619,136709.6246084338
1620,218726.16345340456
1621,107817.31735134243
1622,147833.41713658278
1623,271430.2488873437
1624,190482.90971679447
1625,113039.4492551264
1626,179177.55475031087
1627,187802.16223246197
1628,261147.70489834534
1629,207595.14144708685
1630,357866.10709742445
1631,234786.58472629506
1632,240492.00574820692
1633,187564.0528748279
1634,189003.37675274393
1635,186359.77510472963
1636,148337.06775305464
1637,188613.40820211323
1638,177423.27568346172
1639,178561.33037322958
1640,249985.15920732912
